date;ipsrc;ipdst;proto;portdst;ruleid;action;interin;interout
2022-03-07 18:23:37;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:38;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:40;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:40;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:41;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:42;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:43;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:44;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:45;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:46;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:47;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:48;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:49;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:51;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:51;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:52;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:53;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:54;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:55;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:56;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:57;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
2022-03-07 18:23:58;192.168.0.40;192.168.0.33;TCP;22;35;Deny;IN;
